username,replied_to_username,location,verified,created_at,text
Cantguardzach, , ,False,2018-10-22 23:59:07+00:00,"In a conference with Steph Curry, Kevin Durant, Lebron James, Anthony Davis, Chris Paul, James Harden, Russell Westbrook, Paul George &amp; Damian Lillard

The Nuggets are the #1 seed"
username9217, , ,False,2018-10-22 23:55:47+00:00,"If Russell Westbrook and LeBron James are on the same team and Bron runs point, and Russ is the second option, thatd be the best spot for the dude."
ColombianBoii11,42TDs, ,False,2018-10-22 23:51:25+00:00,@42TDs Kawhi is an elite offensive player and at the same time an elite defender. He doesn’t become a liability. You’re trying to compare Westbrick to the 2x DPOTY and 3x All-defensive first team LMAOO. Not to mention finals MVP against Miami Lebron. Just stop.
jayXedward, , ,False,2018-10-22 23:40:57+00:00,Josh Hart game reminds me of Russell Westbrook
fantasybballbot, , ,False,2018-10-22 23:31:44+00:00,"team with John wall, chris paul, Tim duncan, Russell westbrook, and puss n boots"
JLCauvin, ,Manhattan,False,2018-10-22 23:10:31+00:00,"Daredevil: LeBron
Daredevil season 3: 2016 LeBron 
Luke Cage: Tristan Thompson
Jessica Jones: Kyle Korver
Iron Fist: JR Smith
The Punisher: Russell Westbrook losing to the Jazz with 60 points on 77 attempts 

Please stop trying to act like #Daredevil isn't 100 levels better"
kimboslice021,LondinoHoops, ,False,2018-10-22 23:09:14+00:00,@LondinoHoops @IsaiahRico Soo a top draft pick has a somewhat decent gam and all a sudden Russell Westbrook is trash and it’s only his fault the the 11 players in his team are complete and utter ass?
_NBAEverything, , ,False,2018-10-22 22:27:52+00:00,"Most slandered players on Twitter
Carmelo Anthony
Russell Westbrook
Kevin Durant
James Harden 
Derrick Rose 
Ben Simmons
Markelle Fultz
Andrew Wiggins
DeMarcus Cousins"
MayeslovesTebow,CaraRice107, ,False,2018-10-22 22:17:42+00:00,@CaraRice107 #bangorbust with another Thunder loss even though  Russell Westbrook returned to play It's time for every Monday to be officially named Un-retire Collison Monday
burning__J,jordanfarley32, ,False,2018-10-22 22:12:33+00:00,"@jordanfarley32 I'm not saying he sucks, he is just extremely overrated. People want to put him in a group with kyrie irving and russell westbrook, and he's not even at KAT's level. He's more of an al horford"
mikegrib8,fylo16, ,False,2018-10-22 22:09:10+00:00,"@fylo16 Russell Westbrook shot 30.5% on threes in his first 5 season on 2.5 attempts per 36 minutes. John Wall shot 30.5% his first 5 seasons also, 2.1 attempts per 36. D.Rose 2.4 attempts 31% threes his first 4 seasons"
IsaiahRico,LondinoHoops, ,False,2018-10-22 21:35:01+00:00,@LondinoHoops @kimboslice021 Hahah I hate when pat talk about Russell Westbrook he talk about him so much i literally hate Russ now 😂😂
TylerOSU,RHCP1978, ,False,2018-10-22 21:20:43+00:00,"@RHCP1978 @news_rhcp NBA doesn’t stand for its fans, especially those close to the floor to flip the bird and curse. I remember last year I believe it was that a no name fan got kicked out for giving Russell Westbrook the bird."
